date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:27	122/122	---M-Z	200	added ('OK')	text/plain	date:Sat,%2021%20Jan%202023%2009:54:29%20GMT	https://elementor.com/robots.txt		(from )
20:30:27	144233/144233	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202023%2013:21:34%20GMT	https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/pages/webcreators2021/indexeedd.html	(from )
20:30:28	21748/21748	---M-Z	200	added ('OK')	application/javascript	etag:0x8DAFE286B147C1C	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:28	103736/103736	---MCZ	200	added ('OK')	text/css	etag:W/%226370f797-19538%22	https://elementor.com/marketing/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.8.1	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/plugins/elementor/assets/css/frontend-lite.min7e2e.css	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:29	53907/53907	---MCZ	200	added ('OK')	text/css	etag:W/%22638dc2d4-e4fa%22	https://elementor.com/marketing/wp-content/uploads/sites/5/elementor/css/post-36197.css?ver=1670234836	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/elementor/css/post-361972709.css	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:29	12014/12014	---MCZ	200	added ('OK')	text/css	etag:W/%22637b3c68-2eee%22	https://elementor.com/marketing/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.8.2	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min3fd0.css	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:29	52097/52097	---MCZ	200	added ('OK')	text/css	etag:W/%22638dc77d-dec5%22	https://elementor.com/marketing/wp-content/uploads/sites/5/elementor/css/post-27047.css?ver=1670236029	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/elementor/css/post-27047f829.css	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:29	7347/7347	---MCZ	200	added ('OK')	text/css	etag:W/%2263bbcf29-1f38%22	https://elementor.com/marketing/wp-content/uploads/sites/5/elementor/css/post-47511.css?ver=1673252649	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/elementor/css/post-47511c44e.css	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:29	38756/38756	---MCZ	200	added ('OK')	text/css	etag:W/%22632ae116-9783%22	https://elementor.com/marketing/wp-content/themes/elementor-website/assets/css/style.css?ver=1.1.5	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/themes/elementor-website/assets/css/styled279.css	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:30	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2009%20Jan%202022%2009:18:43%20GMT	https://elementor.com/pages/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/pages/wp-includes/js/jquery/jquery.minaf6c.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
